"Subj"	"Age"	"Sex"	"CHILDREN"	"FORMALED.2"	"HOWLONGCITY.2"
"1"	217	23	1	1	16	16
"2"	115	60	1	2	10	6
"3"	10	55	1	3	10	29
"4"	38	25	1	NA	19	25
"5"	3	22	0	NA	15	5
"6"	18	40	0	2	18	10
"7"	26	23	0	2	16	6
"8"	39	70	1	3	17	48
"9"	36	54	0	3	15	NA
"10"	1	47	0	7	12	47
"11"	202	59	0	3	13.5	12
"12"	210	32	0	2	15	12
"13"	17	43	0	3	15	25
"14"	9	26	0	1	16	26
"15"	8	54	0	2	12	31
"16"	226	24	1	0	13	NA
"17"	102	53	1	6	5	3
"18"	31	23	0	NA	5	1
"19"	219	25	1	1	1	8
"20"	29	44	0	5	18	19
"21"	12	39	1	2	15	22
"22"	101	60	1	2	10	34
"23"	118	37	0	1	19.5	34
"24"	125	37	0	1	19.5	34
"25"	216	23	1	1	16	5
"26"	209	48	0	3	5	5
"27"	204	42	0	2	21	36
"28"	225	23	1	NA	17	23
"29"	2	39	0	2	15	22
"30"	222	40	1	4	15	25
"31"	23	28	0	2	19	28
"32"	24	24	0	0	17	15
"33"	211	28	1	1	18	10
"34"	6	51	0	2	15	27
"35"	220	25	1	1	18	19
"36"	121	31	0	1	NA	3
"37"	218	23	1	1	12	16
"38"	206	47	0	4	12	27
"39"	201	34	0	2	8	34
"40"	129	29	1	3	17	NA
"41"	224	42	1	3	10	1
"42"	213	53	1	4	15	30
"43"	25	NA	0	4	15	5
"44"	137	24	1	1	11	10
"45"	207	26	0	0	5.5	26
"46"	208	25	0	NA	NA	6
"47"	214	26	1	1	11	NA
"48"	34	24	1	1	16	24
"49"	42	35	1	2	12	28
"50"	32	36	0	2	15	10
"51"	14	47	0	2	17	27
"52"	127	32	0	1	20	15
"53"	223	38	1	1	14	17.5
"54"	119	23	0	0	15	23
"55"	120	38	1	3	NA	32
"56"	116	40	1	NA	NA	40
"57"	215	23	1	1	7	15
"58"	205	37	0	1	17	17
"59"	203	64	0	2	16	41
"60"	27	29	0	2	18	6
"61"	136	24	0	1	4	3
"62"	135	24	0	1	2	1
"63"	28	61	0	2	15	0
"64"	20	51	0	2	15	NA
"65"	41	38	1	0	22	22
"66"	227	37	1	2	13	10
"67"	7	47	0	2	14	30
"68"	128	71	0	1	10	4
"69"	105	37	1	2	18	20
"70"	11	39	0	2	15	12
"71"	40	NA	0	2	15	29
"72"	16	62	0	4	17	16
"73"	126	39	0	0	13	39
"74"	19	26	0	1	16	22
"75"	122	30	0	3	17	9
"76"	33	73	0	2	18	48
"77"	5	33	0	1	20	8
"78"	212	42	1	3	10	27
"79"	124	25	0	1	11	NA
"80"	15	32	0	2	20	29
"81"	21	24	0	0	15	6
"82"	30	26	1	1	19	NA
"83"	228	59	1	4	7	35
"84"	4	41	0	1	16	24
"85"	117	NA	1	NA	3	12
"86"	13	36	0	1	5	36
"87"	221	40	1	3	14	20
"88"	123	46	0	1	14	1
"89"	131	47	1	4	20	29
"90"	133	37	0	1	9	20
"91"	22	36	0	3	5	35
"92"	134	63	0	0	15	30
"93"	130	65	1	2	13	48
"94"	229	26	1	2	17	26
"95"	103	50	1	3	18	30
