CERCID	Order	BGD	LGD	POD
BGP018	1	Virtue	Ecology	Morality
BGP018	2	Morality	Ecology	Substance Use/Abuse
BGP018	3	NA	Ecology	Morality
BGP018	4	NA	NA	NA
BGP018	5	NA	NA	NA
BGP019	1	NA	NA	NA
BGP019	2	NA	NA	NA
BGP019	3	NA	NA	NA
BGP019	4	NA	NA	NA
BGP019	5	NA	NA	NA
BGP020	1	NA	NA	NA
BGP020	2	NA	NA	NA
BGP020	3	NA	NA	NA
BGP020	4	NA	NA	NA
BGP020	5	NA	NA	NA
BGP021	1	NA	NA	NA
BGP021	2	NA	NA	NA
BGP021	3	NA	NA	NA
BGP021	4	NA	NA	NA
BGP021	5	NA	NA	NA
BGP022	1	NA	NA	NA
BGP022	2	NA	NA	NA
BGP022	3	NA	NA	NA
BGP022	4	NA	NA	NA
BGP022	5	NA	NA	NA
BGP023	1	NA	NA	NA
BGP023	2	NA	NA	NA
BGP023	3	NA	NA	NA
BGP023	4	NA	NA	NA
BGP023	5	NA	NA	NA
BGP024	1	NA	NA	NA
BGP024	2	NA	NA	NA
BGP024	3	NA	NA	NA
BGP024	4	NA	NA	NA
BGP024	5	NA	NA	NA
BGP025	1	NA	NA	NA
BGP025	2	NA	NA	NA
BGP025	3	NA	NA	NA
BGP025	4	NA	NA	NA
BGP025	5	NA	NA	NA
BGP026	1	NA	NA	NA
BGP026	2	NA	NA	NA
BGP026	3	NA	NA	NA
BGP026	4	NA	NA	NA
BGP026	5	NA	NA	NA
BGP027	1	NA	NA	NA
BGP027	2	NA	NA	NA
BGP027	3	NA	NA	NA
BGP027	4	NA	NA	NA
BGP027	5	NA	NA	NA
BGP028	1	NA	NA	NA
BGP028	2	NA	NA	NA
BGP028	3	NA	NA	NA
BGP028	4	NA	NA	NA
BGP028	5	NA	NA	NA
BGP029	1	NA	NA	NA
BGP029	2	NA	NA	NA
BGP029	3	NA	NA	NA
BGP029	4	NA	NA	NA
BGP029	5	NA	NA	NA
BGP030	1	NA	NA	NA
BGP030	2	NA	NA	NA
BGP030	3	NA	NA	NA
BGP030	4	NA	NA	NA
BGP030	5	NA	NA	NA
BGP031	1	NA	NA	NA
BGP031	2	NA	NA	NA
BGP031	3	NA	NA	NA
BGP031	4	NA	NA	NA
BGP031	5	NA	NA	NA
BGP032	1	NA	NA	NA
BGP032	2	NA	NA	NA
BGP032	3	NA	NA	NA
BGP032	4	NA	NA	NA
BGP032	5	NA	NA	NA
BGP033	1	NA	NA	NA
BGP033	2	NA	NA	NA
BGP033	3	NA	NA	NA
BGP033	4	NA	NA	NA
BGP033	5	NA	NA	NA
BGP034	1	NA	NA	NA
BGP034	2	NA	NA	NA
BGP034	3	NA	NA	NA
BGP034	4	NA	NA	NA
BGP034	5	NA	NA	NA
BGP035	1	NA	NA	NA
BGP035	2	NA	NA	NA
BGP035	3	NA	NA	NA
BGP035	4	NA	NA	NA
BGP035	5	NA	NA	NA
BGP036	1	NA	NA	NA
BGP036	2	NA	NA	NA
BGP036	3	NA	NA	NA
BGP036	4	NA	NA	NA
BGP036	5	NA	NA	NA
BGP037	1	NA	NA	NA
BGP037	2	NA	NA	NA
BGP037	3	NA	NA	NA
BGP038	1	NA	NA	NA
BGP038	2	NA	NA	NA
BGP038	3	NA	NA	NA
BGP038	4	NA	NA	NA
BGP038	5	NA	NA	NA
BGP039	1	NA	NA	NA
BGP039	2	NA	NA	NA
BGP039	3	NA	NA	NA
BGP039	4	NA	NA	NA
BGP039	5	NA	NA	NA
BGP040	1	NA	NA	NA
BGP040	2	NA	NA	NA
BGP040	3	NA	NA	NA
BGP040	4	NA	NA	NA
BGP040	5	NA	NA	NA
BGP041	1	NA	NA	NA
BGP041	2	NA	NA	NA
BGP041	3	NA	NA	NA
BGP041	4	NA	NA	NA
